apr_views,aug_views,avg_duration_seconds,avg_monthly_views,channelKey,comments_per_1k_views,dec_views,engagement_per_1k_views,feb_views,is_ytd,jan_views,jul_views,jun_views,likes_per_1k_views,mar_views,may_views,normal_uploads,normal_views,nov_views,oct_views,percent_views_from_shorts_from_total,sep_views,shares_per_1k_views,shorts_uploads,total_comments,total_likes,total_uploads,total_views,uploads_shorts_share,views_from_shorts_total,year
0.0,167155204.0,361.739658336863,117367872.17,@ESPN,1.13,111420023.0,29.93,0.0,False,0.0,302187979.0,244532228.0,28.8,0.0,194748720.0,2780,263684298,217842952.0,87979215.0,0.8128,82548145.0,,4303,1593606,40569266,7083,1408414466,0.6075,1144730168,2024
399699092.0,342409052.0,299.6534446764092,268412860.5,@HouseofHighlights,0.22,138770566.0,31.549999999999997,51740987.0,False,230841887.0,166730391.0,250230632.0,31.33,777182358.0,637993559.0,92,17880080,80570184.0,77102665.0,0.9944,67682953.0,,387,706554,100896668,479,3220954326,0.8079,3203074246,2024
145457811.0,34314467.0,1050.512482662968,118813135.17,@NBA,1.1,128330810.0,19.03,148610967.0,False,192744228.0,141268544.0,68117939.0,17.93,140953260.0,145727539.0,3599,1043186267,156037935.0,111301238.0,0.2683,12892884.0,,2169,1573955,25564795,5768,1425757622,0.376,382571355,2024
123705363.0,33824807.0,1163.35,46268412.0,@Veritasium,0.95,47160619.0,31.43,135817766.0,False,14576263.0,5219597.0,4591392.0,30.48,55853196.0,14990278.0,27,302933961,32962471.0,67642593.0,0.4544,18876599.0,,13,528687,16923501,40,555220944,0.325,252286983,2024
3341233.0,5237435.0,324.38613861386136,7633408.17,@Vox,1.39,4571492.0,43.36,10899422.0,False,12807929.0,11372433.0,5287682.0,41.97,7412092.0,10421065.0,48,50156549,13185076.0,3071601.0,0.4524,3993438.0,,53,127627,3844860,101,91600898,0.5248,41444349,2024
865394.0,872491.0,230.53968253968253,823537.83,@nytimes,3.26,977216.0,21.4,823937.0,False,1071825.0,2255034.0,204735.0,18.14,163099.0,278523.0,108,9392884,1007634.0,836490.0,0.0495,526076.0,,18,32240,179225,126,9882454,0.1429,489570,2024
39606995.0,18924138.0,654.728813559322,25199709.25,@theoffice,0.25,11647656.0,35.01,28995550.0,False,30955067.0,9929378.0,17082199.0,34.76,29162385.0,65567005.0,137,138121889,22008662.0,15734871.0,0.5432,12782605.0,,99,74761,10512738,236,302396511,0.4195,164274622,2024
526498217.0,269906930.0,258.7,272839523.2,@ESPN,0.84,,20.34,331016230.0,True,107332425.0,335292994.0,280417336.0,19.5,196128688.0,436070849.0,3271,440867020,,101925487.0,0.8384,143806076.0,,9572,2292620,53206765,12843,2728395232,0.7453,2287528212,2025
87949505.0,69368945.0,363.41,106474959.0,@HouseofHighlights,0.35,,19.83,126872532.0,True,251184075.0,83682199.0,55262985.0,19.49,71427780.0,131701359.0,1560,152405765,,109710792.0,0.8569,77589418.0,,1152,368388,20746992,2712,1064749590,0.4248,912343825,2025
207002332.0,10958298.0,881.46,122451978.0,@NBA,1.05,,16.05,216910622.0,True,144805844.0,37507973.0,115019930.0,15.0,157483459.0,148048306.0,2758,801100999,,163838179.0,0.3458,22944837.0,,3579,1284246,18372718,6337,1224519780,0.5648,423418781,2025
85607173.0,108265367.0,1091.21,45853984.7,@Veritasium,0.95,,26.31,43348746.0,True,30089240.0,28939547.0,33337295.0,25.36,32152342.0,38685131.0,23,262533700,,24191279.0,0.4275,33923727.0,,19,433883,11629467,42,458539847,0.4524,196006147,2025
1483756.0,1325090.0,778.7,2143325.0,@Vox,1.48,,33.3,2885212.0,True,2168969.0,810313.0,2842983.0,31.82,5870938.0,1324467.0,47,12706762,,1246036.0,0.4071,1475486.0,,77,31790,681971,124,21433250,0.621,8726488,2025
7972181.0,4076402.0,111.38,5224104.0,@nytimes,4.09,,37.59,2255837.0,True,89825.0,2947762.0,5178341.0,33.5,4015837.0,5038810.0,37,4405141,,10739170.0,0.9157,9926875.0,,518,213718,1750161,555,52241040,0.9333,47835899,2025
6653470.0,7534326.0,930.8,9610071.5,@theoffice,0.37,,18.78,14190594.0,True,12829549.0,4309477.0,13930339.0,18.41,7689196.0,15910100.0,120,70049681,,8960558.0,0.2711,4093106.0,,31,35434,1769575,151,96100715,0.2053,26051034,2025
